,S_no,center_id,center_name,csa,cva,hol,awareness,crowd
0,0,100,PSG Hospitals,48,39,0,0.92,0.489651863441093
1,1,100,PSG Hospitals,158,198,0,0.92,0.3470713156524285
2,2,100,PSG Hospitals,135,88,0,0.92,0.3761347634027646
3,3,100,PSG Hospitals,200,161,0,0.92,0.38171519255562925
4,4,100,PSG Hospitals,109,113,0,0.92,0.510151746431267
5,5,100,PSG Hospitals,163,77,0,0.92,0.41553616929451576
6,6,100,PSG Hospitals,102,153,0,0.92,0.4411597075578932
7,7,100,PSG Hospitals,188,91,0,0.92,0.3116653587533413
8,8,100,PSG Hospitals,42,125,0,0.92,0.413055706572938
9,9,100,PSG Hospitals,32,26,0,0.92,0.6247049522317909
10,10,100,PSG Hospitals,183,172,0,0.92,0.36716236661197543
11,11,100,PSG Hospitals,4,93,0,0.92,0.5525393371426965
12,12,100,PSG Hospitals,30,51,0,0.92,0.4334368317682629
13,13,100,PSG Hospitals,22,29,0,0.92,0.5739883142149795
14,14,100,PSG Hospitals,116,72,0,0.92,0.37816806797375613
15,15,100,PSG Hospitals,197,157,0,0.92,0.3442880263323976
16,16,100,PSG Hospitals,88,4,0,0.92,0.4921674930244905
17,17,100,PSG Hospitals,175,73,0,0.92,0.37511633179210263
18,18,100,PSG Hospitals,194,109,0,0.92,0.3326475429586394
19,19,100,PSG Hospitals,64,86,0,0.92,0.39057346837889373
20,20,100,PSG Hospitals,16,82,0,0.92,0.46297481682095076
21,21,100,PSG Hospitals,104,160,0,0.92,0.41124445574854596
22,22,100,PSG Hospitals,138,28,0,0.92,0.3770326492100545
23,23,100,PSG Hospitals,27,30,0,0.92,0.4932023486141278
24,24,100,PSG Hospitals,197,148,0,0.92,0.3453186110153359
25,25,100,PSG Hospitals,87,58,0,0.92,0.4471086620756849
26,26,100,PSG Hospitals,83,32,0,0.92,0.38579868745327034
27,27,100,PSG Hospitals,195,180,0,0.92,0.3387373190775991
28,28,100,PSG Hospitals,162,57,0,0.92,0.37344854861218313
29,29,100,PSG Hospitals,167,182,0,0.92,0.3540033683375227
30,30,100,PSG Hospitals,148,157,0,0.92,0.3500070262441391
31,31,100,PSG Hospitals,53,8,0,0.92,0.5087887528961345
32,32,100,PSG Hospitals,45,5,0,0.92,0.42687337653445734
33,33,100,PSG Hospitals,181,157,0,0.92,0.3450414959716118
34,34,100,PSG Hospitals,22,82,0,0.92,0.5192551248546688
35,35,100,PSG Hospitals,26,54,0,0.92,0.5652441461789253
36,36,100,PSG Hospitals,3,91,0,0.92,0.5297913046025051
37,37,100,PSG Hospitals,24,100,0,0.92,0.4722727126399261
38,38,100,PSG Hospitals,8,31,0,0.92,0.6216704474363084
39,39,100,PSG Hospitals,148,9,0,0.92,0.4399697132682119
40,40,100,PSG Hospitals,0,99,0,0.92,0.46869884466927536
41,41,100,PSG Hospitals,119,178,0,0.92,0.3645621424198562
42,42,100,PSG Hospitals,116,112,0,0.92,0.4400306540105548
43,43,100,PSG Hospitals,101,35,0,0.92,0.3927781197426048
44,44,100,PSG Hospitals,35,41,0,0.92,0.47219776654590406
45,45,100,PSG Hospitals,167,125,0,0.92,0.39328575158105683
46,46,100,PSG Hospitals,116,127,0,0.92,0.4440913432061415
47,47,100,PSG Hospitals,140,142,0,0.92,0.4034536628483685
48,48,100,PSG Hospitals,7,170,0,0.92,0.5387676201499221
49,49,100,PSG Hospitals,3,158,0,0.92,0.4874799667829085
50,50,100,PSG Hospitals,195,50,1,0.92,0.5818167327350227
51,51,100,PSG Hospitals,150,64,1,0.92,0.610493502766598
52,52,100,PSG Hospitals,145,160,1,0.92,0.5604623362723241
53,53,100,PSG Hospitals,16,158,1,0.92,0.7794649537547181
54,54,100,PSG Hospitals,150,165,1,0.92,0.529052957749311
55,55,100,PSG Hospitals,9,90,1,0.92,0.7176544857948973
56,56,100,PSG Hospitals,68,51,1,0.92,0.6808672174110293
57,57,100,PSG Hospitals,176,27,1,0.92,0.6486423465344244
58,58,100,PSG Hospitals,151,58,1,0.92,0.6075046550442974
59,59,100,PSG Hospitals,26,197,1,0.92,0.7001788167615093
60,60,100,PSG Hospitals,165,104,1,0.92,0.5881148259378527
61,61,100,PSG Hospitals,99,24,1,0.92,0.6105869092956187
62,62,100,PSG Hospitals,51,5,1,0.92,0.8133175410650977
63,63,100,PSG Hospitals,71,15,1,0.92,0.7425683778505708
64,64,100,PSG Hospitals,191,84,1,0.92,0.5990591710719219
65,65,100,PSG Hospitals,160,1,1,0.92,0.7231605377861459
66,66,100,PSG Hospitals,1,97,1,0.92,0.6481384177107274
67,67,100,PSG Hospitals,39,185,1,0.92,0.6661700951880634
68,68,100,PSG Hospitals,9,26,1,0.92,0.8489399282160668
69,69,100,PSG Hospitals,159,139,1,0.92,0.6539958797742893
70,70,100,PSG Hospitals,44,193,1,0.92,0.7061913079551632
71,71,100,PSG Hospitals,172,68,1,0.92,0.5835473192584731
72,72,100,PSG Hospitals,51,156,1,0.92,0.7288240881156332
73,73,100,PSG Hospitals,131,19,1,0.92,0.7196036379802095
74,74,100,PSG Hospitals,130,82,1,0.92,0.6122898168300478
75,75,100,PSG Hospitals,9,142,1,0.92,0.833538799037576
76,76,100,PSG Hospitals,188,29,1,0.92,0.5941029404882509
77,77,100,PSG Hospitals,78,155,1,0.92,0.6408573161561374
78,78,100,PSG Hospitals,193,13,1,0.92,0.5882018380630143
79,79,100,PSG Hospitals,169,151,1,0.92,0.6245286519134883
80,80,100,PSG Hospitals,114,133,1,0.92,0.6514181781696496
81,81,100,PSG Hospitals,188,104,1,0.92,0.5430588758446588
82,82,100,PSG Hospitals,127,182,1,0.92,0.5784785549091743
83,83,100,PSG Hospitals,79,83,1,0.92,0.6561139772656276
84,84,100,PSG Hospitals,118,86,1,0.92,0.5893512233509342
85,85,100,PSG Hospitals,170,57,1,0.92,0.6455611737340988
86,86,100,PSG Hospitals,92,176,1,0.92,0.6455229501905169
87,87,100,PSG Hospitals,131,127,1,0.92,0.6378762268203608
88,88,100,PSG Hospitals,25,119,1,0.92,0.7980142638084724
89,89,100,PSG Hospitals,168,67,1,0.92,0.6475089982626844
90,90,100,PSG Hospitals,10,42,1,0.92,0.6499791840054863
91,91,100,PSG Hospitals,76,149,1,0.92,0.6364936448570893
92,92,100,PSG Hospitals,115,164,1,0.92,0.5964375347171617
93,93,100,PSG Hospitals,198,104,1,0.92,0.5811954603686228
94,94,100,PSG Hospitals,164,111,1,0.92,0.6738853925015299
95,95,100,PSG Hospitals,111,71,1,0.92,0.6831339923601901
96,96,100,PSG Hospitals,178,151,1,0.92,0.6062092958349041
97,97,100,PSG Hospitals,106,162,1,0.92,0.6135885839358215
98,98,100,PSG Hospitals,185,94,1,0.92,0.5690547312542749
99,99,100,PSG Hospitals,174,181,1,0.92,0.5974597837986151
100,100,101,NG Hospital,39,45,0,0.21,0.3459816385477942
101,101,101,NG Hospital,133,43,0,0.21,0.2612843824956532
102,102,101,NG Hospital,1,120,0,0.21,0.5109093069543502
103,103,101,NG Hospital,193,72,0,0.21,0.2057680699736263
